# E. MWO FACULAR COUNTS FOR BOTH POLES CALIBRATED TO WSO BY ANDRES MUNOZ-JARAMILLO
#
# VERSION 2 - Please indicate version used in scientific publications in case of changes.
#
# Faculae counted by hand on the best 5 images during the periods of maximum pole coverage
# (August 15-September 15 for the North pole and February 15-March 15 for the South pole) 
# and averaged.  Standard deviation has been turned into standard error by dividing it by sqrt(5).
# Years with multiple observations have been averaged as well as their their standard errors.
#
# Calibration between campaigns was made taking advantage of the overlaps between them.   All campaigns
# were standardized to the values of the 3rd campaign in order to reduce error propagation.
# Calibration factors used were:
#
# 1. To turn 1st campaign values into 2nd campaign:  0.8733 +/- 0.0343
# 2. To turn 2nd campaign values into 3rd campaign:  0.7293 +/- 0.1918
# 3. To turn 4th campaign values into 3rd campaign:  1.6601 +/- 0.1861
#
# Unification of all campaigns is performed by averaging overlapping years between the calibrated campaigns
# as well as their standard errors.
#
# Calibration to WSO field is performed by using WSO data only during periods of maximum polar coverage
# and the overlap between the unified WSO facular count and WSO data.
# The calibration factor used was:
#
# To turn MWO facular counts to WSO magnetic field:  (0.0852 +/- 0.0069) Gauss
#
# Original papers reporting the different MWO data reduction campaigns are:
#
# 1st Campaign:
# Sheeley N. R. Jr. 1964 ApJ 140 731
# Sheeley N. R. Jr. 1966 ApJ 144 723
#
# 2nd Campaign:
# Sheeley N. R. Jr. 1976 J. Geophys. Res. 81 3462
#
# 3rd Campagin:
# Sheeley N. R. Jr. 1991 ApJ 374 386
#
# 4th Campagin:
# Sheeley N. R. Jr. 2008 ApJ 680 1553
#
# Details on the consolidation and calibration of the different campaigns can be found in:
#
# A. Munoz-Jaramillo, N. R. Sheeley, Jr., J. Zhang, and E. E. DeLuca
# CALIBRATING 100 YEARS OF POLAR FACULAE MEASUREMENTS: IMPLICATIONS
# FOR THE EVOLUTION OF THE HELIOSPHERIC MAGNETIC FIELD
# ApJ, 753, 146. (2012)  doi:10.1088/0004-637X/753/2/146
#
# Paper available from:
# https://ui.adsabs.harvard.edu/abs/2012ApJ...753..146M/abstract
# 
#
# 1st (7th) column indicates time of measurement for MWO northern (southern) hemisphere data.
# 2nd (8th) column contains MWO facular count for the North (South) pole calibrated to WSO polar field.  Units are in Gauss
# 3rd (9th) column contains standard error of the mean (SEM) in MWO facular count for the North (South) pole.  Units are in Gauss 
# 4th (10th) column indicates time of measurement for WSO northern (southern) hemisphere data.
# 5th (11th) column contains WSO polar field.  Units are in Gauss
# 6th (12th) column contains estimated standard error for WSO data based on equivalent measurements on MDI and HMI.  Units are in Gauss 
#
#
# Created on 16-Oct-2023
#
N MWO Date,N MWO PField,N MWO SEM,N WSO Date,N WSO PField,N WSO SEM,S MWO Date,S MWO PField,S MWO SEM,S WSO Date,S WSO PField,S WSO SEM
1931.7,1.0636,0.34097,NaN,NaN,NaN,1931.2,-1.3675,0.40704,NaN,NaN,NaN
1932.7,1.1341,0.35251,NaN,NaN,NaN,1932.2,-1.6713,0.47461,NaN,NaN,NaN
1933.7,0.99846,0.29825,NaN,NaN,NaN,1933.2,-1.6279,0.46849,NaN,NaN,NaN
1934.7,1.2752,0.38724,NaN,NaN,NaN,1934.2,-0.79225,0.24067,NaN,NaN,NaN
1935.7,0.70814,0.25074,NaN,NaN,NaN,1935.2,-1.1721,0.34479,NaN,NaN,NaN
1936.7,0.85737,0.3299,NaN,NaN,NaN,1936.2,-1.2155,0.39273,NaN,NaN,NaN
1937.7,0.43954,0.14641,NaN,NaN,NaN,1937.2,-0.2876,0.10731,NaN,NaN,NaN
1938.7,0.14923,0.090729,NaN,NaN,NaN,1938.2,0.29302,0.096727,NaN,NaN,NaN
1939.7,-0.2062,0.075106,NaN,NaN,NaN,1939.2,0.78682,0.25943,NaN,NaN,NaN
1940.7,-1.3349,0.38964,NaN,NaN,NaN,1940.2,1.0202,0.33182,NaN,NaN,NaN
1941.7,-1.1829,0.38001,NaN,NaN,NaN,1941.2,1.2697,0.3866,NaN,NaN,NaN
1942.7,-1.0527,0.32367,NaN,NaN,NaN,1942.2,1.6713,0.47184,NaN,NaN,NaN
1943.7,-2.0566,0.58677,NaN,NaN,NaN,1943.2,1.8124,0.52648,NaN,NaN,NaN
1944.7,-2.7566,0.78207,NaN,NaN,NaN,1944.2,1.4543,0.45056,NaN,NaN,NaN
1945.7,-2.0186,0.57762,NaN,NaN,NaN,1945.2,1.5303,0.452,NaN,NaN,NaN
1946.7,-1.4163,0.46439,NaN,NaN,NaN,1946.2,1.1504,0.34117,NaN,NaN,NaN
1947.7,-0.37985,0.11672,NaN,NaN,NaN,1947.2,0.69458,0.2172,NaN,NaN,NaN
1948.7,-0.027132,0.021963,NaN,NaN,NaN,1948.2,0.47752,0.15139,NaN,NaN,NaN
1949.7,0.05969,0.025538,NaN,NaN,NaN,1949.2,-0.2062,0.081715,NaN,NaN,NaN
1950.7,0.21706,0.085562,NaN,NaN,NaN,1950.2,-0.65117,0.24169,NaN,NaN,NaN
1951.7,2.0403,0.66111,NaN,NaN,NaN,1951.2,-1.1286,0.34795,NaN,NaN,NaN
1952.7,3.3752,0.95982,NaN,NaN,NaN,1952.2,-1.2372,0.38685,NaN,NaN,NaN
1953.7,2.2302,0.64247,NaN,NaN,NaN,1953.2,-1.8124,0.53166,NaN,NaN,NaN
1954.7,2.2954,0.65417,NaN,NaN,NaN,1954.2,-2.0837,0.67772,NaN,NaN,NaN
1955.7,2.0132,0.58921,NaN,NaN,NaN,1955.2,-2.431,0.68076,NaN,NaN,NaN
1956.7,1.0473,0.31135,NaN,NaN,NaN,1956.2,-1.8666,0.55486,NaN,NaN,NaN
1957.7,0.22248,0.090096,NaN,NaN,NaN,1957.2,-1.1396,0.41113,NaN,NaN,NaN
1958.7,0.28217,0.096267,NaN,NaN,NaN,1958.2,0.16279,0.069986,NaN,NaN,NaN
1959.7,-0.15194,0.059893,NaN,NaN,NaN,1959.2,2.0077,0.61656,NaN,NaN,NaN
1960.7,-2.6976,0.76376,NaN,NaN,NaN,1960.2,1.0986,0.33198,NaN,NaN,NaN
1961.7,-3.5659,1.0049,NaN,NaN,NaN,1961.2,0.69604,0.21665,NaN,NaN,NaN
1962.7,-2.6409,0.78674,NaN,NaN,NaN,1962.2,0.45081,0.15181,NaN,NaN,NaN
1963.7,-1.2737,0.37847,NaN,NaN,NaN,1963.2,NaN,NaN,NaN,NaN,NaN
1964.7,-1.5534,0.45034,NaN,NaN,NaN,1964.2,0.59651,0.19517,NaN,NaN,NaN
1965.7,-0.78292,0.26097,NaN,NaN,NaN,1965.2,0.98176,0.31458,NaN,NaN,NaN
1966.7,-0.64622,0.23448,NaN,NaN,NaN,1966.2,0.63379,0.19969,NaN,NaN,NaN
1967.7,-0.29825,0.10575,NaN,NaN,NaN,1967.2,0.50952,0.16907,NaN,NaN,NaN
1968.7,-0.22369,0.088739,NaN,NaN,NaN,1968.2,0.48466,0.17541,NaN,NaN,NaN
1969.7,-0.16156,0.064869,NaN,NaN,NaN,1969.2,0.33553,0.1244,NaN,NaN,NaN
1970.7,0.10438,0.052241,NaN,NaN,NaN,1970.2,0.090001,0.041922,NaN,NaN,NaN
1971.7,0.15995,0.071894,NaN,NaN,NaN,1971.2,-0.11486,0.038454,NaN,NaN,NaN
1972.7,0.79032,0.25076,NaN,NaN,NaN,1972.2,-0.15835,0.062231,NaN,NaN,NaN
1973.7,1.01,0.23874,NaN,NaN,NaN,1973.2,-0.36001,0.10254,NaN,NaN,NaN
1974.7,0.98832,0.18406,NaN,NaN,NaN,1974.2,-1.4844,0.30619,NaN,NaN,NaN
1975.7,1.1758,0.19947,NaN,NaN,NaN,1975.2,-0.95929,0.17498,NaN,NaN,NaN
1976.7,0.94572,0.2267,1976.7,1.17,0.1,1976.2,-1.3973,0.26538,1976.4,-1.26,0.1
1977.7,1.0735,0.17712,1977.7,1.1,0.1,1977.2,-1.3462,0.31657,1977.2,-1.27,0.1
1978.7,0.69864,0.15723,1978.7,1.17,0.1,1978.2,-0.7668,0.16105,1978.2,-1.58,0.1
1979.7,0.52824,0.16933,1979.7,0.7,0.1,1979.2,-0.97128,0.15813,1979.2,-0.99,0.1
1980.7,0.05964,0.032745,1980.7,-0.24,0.1,1980.2,-0.2556,0.07164,1980.2,-0.43,0.1
1981.7,-0.15336,0.049221,1981.7,-0.49,0.1,1981.2,0.0852,0.057569,1981.1,0.35,0.1
1982.7,-0.852,0.10711,1982.7,-1.02,0.1,1982.2,0.63048,0.17891,1982.2,0.36,0.1
1983.7,-1.6273,0.22853,1983.7,-1.56,0.1,1983.2,0.47712,0.10634,1983.1,0.89,0.1
1984.7,-1.687,0.20046,1984.7,-1.56,0.1,1984.2,1.5166,0.29018,1984.2,1.45,0.1
1985.7,-1.6812,0.22155,1985.7,-1.61,0.1,1985.2,2.0166,0.31838,1985.2,1.84,0.1
1986.7,-1.8816,0.24569,1986.7,-1.33,0.1,1986.2,1.8819,0.33132,1986.2,1.92,0.1
1987.7,-1.7695,0.23601,1987.7,-1.39,0.1,1987.2,2.4937,0.35608,1987.2,1.84,0.1
1988.7,-1.1547,0.20719,1988.7,-1.15,0.1,1988.2,1.0334,0.23373,1988.2,1.49,0.1
1989.7,-0.87251,0.15208,1989.7,-0.86,0.1,1989.2,0.51309,0.12538,1989.2,0.94,0.1
1990.7,-0.077153,0.031661,1990.7,0.29,0.1,1990.2,0.082137,0.055679,1990.2,0.24,0.1
1991.7,0.16973,0.053635,1991.7,0.76,0.1,1991.2,-0.07072,0.039193,1991.2,0.42,0.1
1992.7,1.3437,0.34183,1992.7,1.16,0.1,1992.2,-0.22631,0.073421,1992.2,-0.87,0.1
1993.7,1.2376,0.24503,1993.7,1.02,0.1,1993.2,-0.90525,0.21948,1993.2,-1.49,0.1
1994.7,0.82036,0.13544,1994.7,1.23,0.1,1994.2,-1.2588,0.37495,1994.2,-1.57,0.1
1995.7,1.0184,0.25859,1995.7,1.25,0.1,1995.2,-1.3578,0.31255,1995.2,-1.38,0.1
1996.7,0.95475,0.22093,1996.7,1.24,0.1,1996.2,-1.5629,0.32091,1996.2,-1.2,0.1
1997.7,1.478,0.25164,1997.7,1.25,0.1,1997.2,-0.86282,0.20063,1997.2,-1.27,0.1
1998.7,0.71427,0.13,1998.7,1.27,0.1,1998.2,-0.60819,0.26064,1998.2,-0.95,0.1
1999.7,0.44554,0.11805,1999.7,0.77,0.1,1999.2,-0.89111,0.27293,1999.2,-0.77,0.1
2000.7,0.028288,0.008082,2000.7,0.23,0.1,2000.2,-0.38189,0.14295,2000.2,-0.34,0.1
2001.7,-0.063648,0.03766,2001.7,-0.24,0.1,2001.2,-0.32531,0.11365,2001.2,-0.2,0.1
2002.7,-0.13437,0.042028,2002.7,-0.73,0.1,2002.2,NaN,NaN,2002.1,0.5,0.1
2003.7,-0.94768,0.21529,2003.7,-0.75,0.1,2003.2,NaN,NaN,2003.2,0.52,0.1
2004.7,-0.6577,0.10519,2004.7,-0.72,0.1,2004.2,0.45968,0.13596,2004.2,0.99,0.1
2005.7,-0.46675,0.11174,2005.7,-0.61,0.1,2005.2,0.55869,0.12985,2005.2,0.75,0.1
2006.7,-0.84157,0.14264,2006.7,-0.9,0.1,2006.2,0.61526,0.14214,2006.2,0.62,0.1
2007.7,NaN,NaN,2007.7,-0.81,0.1,2007.2,0.65063,0.15524,2007.2,0.89,0.1
2008.7,NaN,NaN,2008.7,-0.67,0.1,2008.2,NaN,NaN,2008.2,0.78,0.1
2009.7,NaN,NaN,2009.7,-0.7,0.1,2009.2,NaN,NaN,2009.2,0.79,0.1
2010.7,NaN,NaN,2010.7,-0.53,0.1,2010.2,NaN,NaN,2010.2,0.65,0.1
2011.7,NaN,NaN,2011.7,-0.31,0.1,2011.2,NaN,NaN,2011.2,0.63,0.1
2012.7,NaN,NaN,2012.7,-0.07,0.1,2012.2,NaN,NaN,2012.2,0.53,0.1
2013.7,NaN,NaN,2013.7,0.14,0.1,2013.2,NaN,NaN,2013.2,0.39,0.1
2014.7,NaN,NaN,2014.7,0.05,0.1,2014.2,NaN,NaN,2014.2,-0.02,0.1
2015.7,NaN,NaN,2015.7,0.19,0.1,2015.2,NaN,NaN,2015.2,-0.5,0.1
2016.7,NaN,NaN,2016.7,0.43,0.1,2016.2,NaN,NaN,2016.2,-0.94,0.1
2017.7,NaN,NaN,2017.7,0.71,0.1,2017.2,NaN,NaN,2017.2,-1,0.1
2018.7,NaN,NaN,2018.7,0.88,0.1,2018.2,NaN,NaN,2018.2,-1.06,0.1
2019.7,NaN,NaN,2019.7,1.02,0.1,2019.2,NaN,NaN,2019.2,-0.88,0.1
2020.7,NaN,NaN,2020.7,0.78,0.1,2020.2,NaN,NaN,2020.2,-0.71,0.1
2021.7,NaN,NaN,2021.7,0.76,0.1,2021.2,NaN,NaN,2021.1,-0.79,0.1
2022.7,NaN,NaN,2022.7,0.78,0.1,2022.2,NaN,NaN,2022.2,-0.85,0.1
2023.7,NaN,NaN,2023.7,0.15,0.1,2023.2,NaN,NaN,2023.1,-0.39,0.1
